model,variable,right_coding,explanation
NK_AFL15,Tax,false,"False. The model includes only lump-sum taxes/transfers: the household budget constraint defines T t ​ as “net transfers to the public sector (lump sum taxes, equal to public expenditures)” on p. 292, so taxes are not distortionary and do not create an independent nontrivial equilibrium channel. Angeloni et al. - 2015 - Moneta…"
NK_AFL15,Lagged_Terms,true,"True. The model has nontrivial state dynamics: the competitive equilibrium is defined conditional on initial asset states K 0 ​ ,D 0 ​ ,K 0 B ​ , and includes wealth-accumulation equations and capital dated K t+1 ​ , so lagged/predetermined balance-sheet and capital stocks affect equilibrium; see p. 298. Angeloni et al. - 2015 - Moneta…"
NK_AFL15,Sticky_Price_Sector,Final Goods Firms,Final Goods Firms. Sticky prices are imposed in the final-good production block: each final-good firm i sets P t ​ (i) subject to the quadratic adjustment cost on p. 296. Angeloni et al. - 2015 - Moneta…
NK_BGG99,CB_Authors,33.3,"True — 1/3 authors, or 33.3%. The paper’s author page lists Ben S. Bernanke, Mark Gertler, and Simon Gilchrist on p. 1341. Bernanke et al. - THE FINANCIAL… Gilchrist counts: he was a staff economist at the Board of Governors before arriving at Boston University in 1995; Bernanke’s Federal Reserve Board service began in 2002, after publication, and Gertler’s central-bank links I found are consulting/visiting/resident-scholar roles, which do not count. bostonfed.org +2 brookings.edu +2"
NK_BGG99,Tax,false,"False. Taxes appear only as lump-sum financing in the household budget constraint on p. 1387 and in the government budget constraint on p. 1389; there is no distortionary tax margin, tax rule, or tax shock that independently affects equilibrium allocation. Bernanke et al. - THE FINANCIAL… Bernanke et al. - THE FINANCIAL…"
NK_BGG99,Rational_Expectations,true,"True. The log-linearized model is forward-looking—its Phillips curve uses expected future inflation, reflecting forward-looking price setting, on p. 1364. Bernanke et al. - THE FINANCIAL…"
NK_BGG99,Lagged_Terms,true,"True. The model explicitly adds decision lags in investment, which the authors say generate “hump-shaped output dynamics and a lead-lag relationship between asset prices and investment” on p. 1346. Bernanke et al. - THE FINANCIAL…"
NK_BGG99,Sticky_Price_Sector,Final Goods Firms,"Final Goods Firms. Sticky prices apply in the retail/final-goods sector: retailers buy wholesale output, differentiate it costlessly, and reset prices only probabilistically under Calvo pricing on p. 1389. Bernanke et al. - THE FINANCIAL…"
NK_BGG99,Published,false,"No. It is published as a chapter in the Handbook of Macroeconomics, Volume 1 by Elsevier, not as an academic journal article, as shown on p. 1341. Bernanke et al. - THE FINANCIAL…"
NK_BGUS10,Rational_Expectations,true,"True. The model is solved under rational expectations: its log-linear equilibrium uses conditional expectations such as E t ​ {π t+1 ​ }, E t ​ {Δu t+1 ​ }, and E t ​ {a t+1 ​ } in the New Keynesian equilibrium system; see pp. 13–15, especially equation (37) on p. 15. Blanchard and Galí - 2010 - Lab…"
NK_BGUS10,Lagged_Terms,true,"True. Lagged employment/unemployment is nontrivial: labor market tightness depends on current and lagged employment in equation (26), and the inflation–unemployment relation depends on both current and lagged unemployment; see pp. 14 and 16. Blanchard and Galí - 2010 - Lab…"
NK_BGUS10,Sticky_Wages,false,"False. The model does not use sticky nominal wages; it uses real wage rigidities, modeled as sluggish adjustment of the real wage to the flexible-wage Nash-bargaining benchmark. This is introduced in Section II.C, “Real Wage Rigidities,” on p. 11. Blanchard and Galí - 2010 - Lab…"
NK_CFP10,Rational_Expectations,true,"True. The model uses rational expectations: its equilibrium conditions are explicitly forward-looking and use E t ​ , defined as the expectations operator, in the Fisher equation and asset-price equation on paper p. 41. Carlstrom et al. - 2010 - Optim…"
NK_CFP10,Lagged_Terms,true,"True. Lagged state variables matter nontrivially: entrepreneurial share holdings e t−1 ​ enter the entrepreneur budget constraint, and the optimal targeting criterion includes lagged gap growth because the credit model has an endogenous state variable; see pp. 43 and 52. Carlstrom et al. - 2010 - Optim… Carlstrom et al. - 2010 - Optim…"
NK_CFP10,Sticky_Price_Sector,Final Goods Firms,"Final Goods Firms. The paper states that “sticky price firms … produce the final good,” while entrepreneurs produce intermediate goods; Section 1.3 then specifies that these final-goods firms face Rotemberg price-adjustment costs, see pp. 40 and 44. Carlstrom et al. - 2010 - Optim… Carlstrom et al. - 2010 - Optim…"
NK_CGG02,Gov_Spend,false,"False. Government spending is not a nontrivial equilibrium object: the goods-market clearing conditions allocate output only to private home/foreign consumption, with no government-purchases term, on p. 9 of the paper; the only fiscal object is a steady-state subsidy/tax used to offset markup distortions, not a spending shock. Clarida et al. - 2002 - A Simpl…"
NK_CGG02,Rational_Expectations,true,"True. The model uses forward-looking equilibrium conditions with expectations E t ​ {⋅}, and the paper describes the framework as an optimizing two-country sticky-price model solved analytically; see the abstract on p. 1 and the Euler/Phillips equations on pp. 5 and 15. Clarida et al. - 2002 - A Simpl…"
NK_CGG02,Lagged_Terms,true,"True, narrowly. The model has no lagged endogenous state like habit, inflation indexation, or capital accumulation, but the cost-push shock follows u t ​ =ρu t−1 ​ +ε t ​ , and that persistence affects equilibrium inflation/output through ψ=[(1−βρ)+λξ] −1 ; see pp. 15 and 17. Clarida et al. - 2002 - A Simpl…"
NK_CGG02,Price_Indexation,false,"False. Prices are Calvo-sticky with firms that cannot adjust simply keeping their prices fixed, not mechanically indexing them to lagged or trend inflation; the relevant pricing setup is on p. 8. Clarida et al. - 2002 - A Simpl…"
NK_CGG02,Working_Paper,false,"No. It appeared first as NBER Working Paper No. 8870 in April 2002 on p. 1 of the uploaded PDF, but it was later published in the Journal of Monetary Economics, vol. 49(5), pp. 879–904, July 2002. Clarida et al. - 2002 - A Simpl… ideas.repec.org"
NK_CGG02,Published,true,"Yes. The uploaded version is the NBER working paper, dated April 2002 on p. 1, but the article was published in the Journal of Monetary Economics, 49(5), 879–904, in 2002. Clarida et al. - 2002 - A Simpl… econpapers.repec.org"
NK_CGG02,Calibrated,false,"No. It is an analytical model, not a calibrated quantitative exercise; the authors say the framework is “sufficiently tractable to admit an analytical solution” on p. 2, and later state that “a serious model calibration is beyond the scope of this paper” on p. 25. Clarida et al. - 2002 - A Simpl… Clarida et al. - 2002 - A Simpl…"
NK_CGG99,Tax,false,"False. Taxes are not modeled as an equilibrium-relevant fiscal block; they appear only as a possible distortion motivating a positive desired output gap k>0, not through a government budget constraint, tax rule, or household/firms’ tax wedges; see p. 1675. Clarida et al. - 1999 - The Sci…"
NK_CGG99,Sticky_Price_Sector,Final Goods Firms,"Final Goods Firms. The paper is a reduced-form closed-economy NK setup, but its Calvo price rigidity is described as firms setting goods prices in a monopolistically competitive goods market, not as wage stickiness or an explicit intermediate-goods sector; see p. 1666. Clarida et al. - 1999 - The Sci…"
NK_CGG99,Calibrated,false,"No. The paper uses a stripped-down analytical baseline model to derive policy principles, and while it discusses parameterized policy rules and estimates from other work, it does not present a calibrated quantitative version of the model; see pp. 1664 and 1696–1697. Clarida et al. - 1999 - The Sci… Clarida et al. - 1999 - The Sci…"
NK_CK08,Tax,false,"False. Taxes appear as lump-sum taxes in the household budget constraint on p. 868 and as government revenue in the budget constraint on p. 872, but the paper explicitly assumes Ricardian fiscal policy, so taxes do not introduce a distortion or nontrivial equilibrium channel. Christoffel and Kuester - 2008 … Christoffel and Kuester - 2008 …"
NK_CK08,Gov_Debt,false,"False. The model has one-period nominal government bonds in the household and government budget constraints, but fiscal policy is explicitly assumed Ricardian, so debt is not a nontrivial state variable affecting allocations; see p. 872. Christoffel and Kuester - 2008 …"
NK_CK08,Lagged_Terms,true,"True. Lagged state variables matter nontrivially: preferences include external habit through lagged aggregate consumption c t−1 ​ , employment evolves from lagged employment via n t ​ =(1−ρ)n t−1 ​ +m t−1 ​ , and the monetary rule includes the lagged policy rate; see pp. 867, 870, and 871. Christoffel and Kuester - 2008 …"
NK_CK08,Sticky_Price_Sector,Intermediate Goods Firms,"Intermediate Goods Firms. Sticky prices apply in the wholesale sector, where differentiated wholesale firms set prices à la Calvo; final-good production is a competitive aggregator, so the closest category is Intermediate Goods Firms; see p. 869. Christoffel and Kuester - 2008 …"
NK_CK08,Sticky_Wage_Method,Calvo,"Calvo. Sticky wages are implemented with Calvo-style wage stickiness, with Table 1 reporting “Calvo stickiness of wages” ω w ​ =0.72; see p. 873. Christoffel and Kuester - 2008 …"
NK_CKL09,Tax,false,False. Taxes appear only as lump-sum taxes in the representative family’s budget constraint and the government budget constraint on pp. 910 and 914; there are no distortionary tax rates or tax wedges that materially change private optimality conditions. Christoffel et al. - 2009 - The…
NK_CKL09,Gov_Debt,false,"False. Government debt appears as one-period nominal bonds in the household budget constraint on p. 910 and in the government budget constraint on p. 914, but with lump-sum taxes and no fiscal feedback/default/risk-premium debt mechanism, it does not play a nontrivial independent equilibrium role. Christoffel et al. - 2009 - The…"
NK_CKL09,Sticky_Price_Sector,Intermediate Goods Firms,"Intermediate Goods Firms. Sticky prices apply in the wholesale/intermediate-goods sector: firms are monopolistic competitors and set prices à la Calvo, with Table 5 reporting the price-stickiness parameter on p. 929. Christoffel et al. - 2009 - The…"
NK_CKL09,Sticky_Wage_Method,Calvo,"Calvo. Sticky wages are implemented as Calvo-style infrequent wage re-optimization; bargaining determines the reset wage when adjustment occurs, but the nominal rigidity itself is Calvo. See Table 5 on p. 929. Christoffel et al. - 2009 - The…"
NK_CKL09,Price_Indexation,false,"False. In the baseline calibration, the model explicitly sets x p ​ =0 for “Price indexation; no indexation in baseline model,” and also x w ​ =0 for wage indexation; see Table 5 on p. 929. Christoffel et al. - 2009 - The…"
NK_CKL09,Wage_Indexation,false,"False. In the baseline model, wage indexation is explicitly set to zero: Table 5 lists x w ​ =0, “Wage indexation; no indexation in baseline model,” on p. 929. Christoffel et al. - 2009 - The…"
NK_CKL09,Estimated,true,"Yes. The authors estimate the model using Bayesian techniques on euro-area data, and the abstract states that they “estimated the model by Bayesian techniques”; see p. 908. Christoffel et al. - 2009 - The…"
NK_CW09,Lagged_Terms,true,"True. The baseline NK part is “purely forward-looking,” but the financial-frictions block adds a nontrivial state variable: aggregate private debt follows a law of motion involving lagged private debt and lagged policy rates, and it matters for spreads/equilibrium when spreads or intermediation costs depend on debt. See pp. 12 and 19. Cúrdia and Woodford - Credit fr… Cúrdia and Woodford - Credit fr…"
NK_CW09,Sticky_Price_Sector,Intermediate Goods Firms,"Intermediate Goods Firms. Sticky prices apply to the differentiated goods producers: each differentiated good has a supplier that sets its price in a Calvo-style staggered-pricing problem, while the final good is an aggregate of differentiated goods. See p. 14. Cúrdia and Woodford - Credit fr…"
NK_CW09,Working_Paper,false,"False. The version you uploaded is a BIS Working Paper from March 2009, but the paper was later published in the Journal of Monetary Economics in 2016, so it was not only ever a working paper. Cúrdia and Woodford - Credit fr… sciencedirect.com +1"
NK_CW09,Published,true,"True. The uploaded version is a BIS Working Paper dated March 2009 on the cover page, but the paper was later published in the Journal of Monetary Economics, vol. 84, pp. 30–65, in 2016. Cúrdia and Woodford - Credit fr… ideas.repec.org"
NK_DEFK17,Gov_Spend,false,"False. Government matters through liquidity/asset-swap policy, not through government purchases: the model’s nonconventional policy is “open market operations in private assets” that increase liquidity, calibrated to the Fed balance sheet expansion, not a government-spending shock or fiscal demand block; see p. 826. Del Negro et al. - 2017 - The G…"
NK_DEFK17,Tax,false,"False. The model has lump-sum taxes in the household budget constraint, but they are not a distortionary or independently active fiscal instrument; the equilibrium action comes from liquidity policy/open-market operations in private assets, not taxes. See p. 831 for lump-sum taxes and p. 826 for the policy mechanism. Del Negro et al. - 2017 - The G…"
NK_DEFK17,Rational_Expectations,true,"True. The model is an optimizing DSGE model with forward-looking agents; the crisis simulation is explicitly run conditional on the shock “under perfect foresight,” and expectations over the ZLB path are central to the equilibrium dynamics. See p. 845. Del Negro et al. - 2017 - The G…"
NK_DEFK17,Wage_Indexation,false,"No. The model has Calvo wage stickiness, but I do not see a wage-indexation mechanism or wage-indexation parameter; the calibration table lists “Wage Calvo probability,” not wage indexation. See p. 840. Del Negro et al. - 2017 - The G…"
NK_DT12,Gov_Spend,false,"False. Government appears only through lump-sum taxes/transfers in the household budget constraint, not as a government-spending process or resource-absorbing demand component; the model environment on pp. 908–913 lists households, entrepreneurs, banks/intermediaries, retail firms, and monetary policy, with no fiscal spending block affecting equilibrium. Fiore and Tristani - 2013 - Opt…"
NK_DT12,Tax,false,"False. Taxes appear only as lump-sum taxes/transfers in the household budget constraint on p. 909, so they do not create distortions or otherwise play a nontrivial role in equilibrium. Fiore and Tristani - 2013 - Opt…"
NK_DT12,Rational_Expectations,true,"True. The model is a forward-looking New Keynesian DSGE model with expectations terms in the IS curve and Phillips curve, and the authors solve optimal monetary policy under commitment/timeless perspective rather than under learning or bounded expectations; see pp. 914–915 and p. 926. Fiore and Tristani - 2013 - Opt… Fiore and Tristani - 2013 - Opt…"
NK_DT12,Lagged_Terms,true,True. The baseline has nontrivial lag dependence through persistent exogenous processes—technology shocks have persistence 0.9 and net-worth shocks have autocorrelation 0.7317—and the robustness extension with accumulated internal funds also makes firms’ internal funds depend on previous-period debt and returns; see pp. 918 and 925. Fiore and Tristani - 2013 - Opt… Fiore and Tristani - 2013 - Opt…
NK_DT12,Sticky_Price_Sector,Final Goods Firms,"Final Goods Firms. Sticky prices apply in the retail/final-goods sector: retail firms buy homogeneous wholesale output, differentiate it into final goods, and each retailer can reset its price only with Calvo probability 1−h; see p. 913. Fiore and Tristani - 2013 - Opt…"
NK_ET14,Tax,false,"False. Taxes appear in the household and consolidated government budget constraints, but current government expenditure is lump-sum funded and the paper states this makes the consolidated government budget constraint always satisfied, so taxes are not a nontrivial equilibrium distortion/channel (pp. 201, 204). Ellison and Tischbirek - 2014 -… Ellison and Tischbirek - 2014 -…"
NK_ET14,Lagged_Terms,true,"True. Lagged state variables matter through Calvo price dispersion D t−1 ​ , persistent AR(1) shocks, and the long-bond payoff/government-budget structure that depends on previously issued bonds Q t−j,t+τ−j ​ (pp. 201, 204, 213, 215). Ellison and Tischbirek - 2014 -… Ellison and Tischbirek - 2014 -… Ellison and Tischbirek - 2014 -…"
NK_ET14,Sticky_Price_Sector,Final Goods Firms,"Final Goods Firms. Sticky prices apply to the monopolistically competitive goods-producing firms: the paper’s “Firms” section says there is a continuum of monopolistically competitive firms indexed by i, each producing good Y t ​ (i), and only fraction 1−α can reset its price each period (p. 201). Ellison and Tischbirek - 2014 -…"
NK_FLMF18,CB_Authors,75,"True — 75% (3/4 authors). The paper’s p. 1 author footnotes list Filardo and Lombardi at the BIS, Montoro at the Central Reserve Bank of Peru/Ministry of Economy and Finance of Peru, and Ferrari at Università Cattolica; external background checks show Filardo previously worked at the Federal Reserve Bank of Kansas City, Lombardi joined BIS from the ECB, and Montoro was at the Central Reserve Bank of Peru, while I found no pre-publication central-bank employment for Ferrari. Filardo et al. - Monetary polic… ecb.europa.eu +3 CEPR +3 CEPR +3"
NK_FLMF18,Gov_Spend,false,"False. There is no government spending block affecting equilibrium; the only fiscal element is a simple tax/transfer rule where “transfers to households are funded by taxing final good producers,” stated in footnote 11 on p. 19. Filardo et al. - Monetary polic…"
NK_FLMF18,Tax,false,"False. Fiscal policy is included only “for completeness” as a linear transfer/tax rule, with transfers to households funded by taxes on final-good producers; it is not a substantive tax distortion or equilibrium channel in the model. Filardo et al. - Monetary polic…"
NK_FLMF18,Learning,true,"True. The model has policymaker learning/incomplete-information learning, not private-agent adaptive learning: Section IV says the monetary authority faces “two types of learning,” including signal extraction and updating assessments after observing the economy’s response to policy, and Section V is titled “Learning from past mistakes” (pp. 29, 37–38). Filardo et al. - Monetary polic…"
NK_FLMF18,Rational_Expectations,true,"True. The model is solved with forward-looking expectations in the standard DSGE sense: the household Euler equation and the core Phillips curve both contain E t ​ terms, and the incomplete-information extension changes the monetary authority’s perceived expectations rather than replacing private-agent rational expectations; see pp. 9 and 22. Filardo et al. - Monetary polic…"
NK_FLMF18,Lagged_Terms,true,True. The monetary policy rule uses one-period-lagged information for inflation and output—“the monetary authority is able to observe inflation and output with a one period lag”—so the lagged information set nontrivially affects interest-rate setting and equilibrium dynamics; see p. 24. Filardo et al. - Monetary polic…
NK_GHP16,CB_Authors,66.7,"True — 66.7% (2/3 authors). Gnocchi and Hauser count: both were Bank of Canada employees before the May 2016 publication, while Pappa does not count based on her listed academic appointments; the paper’s p. 94 title page also lists Gnocchi and Hauser at the Bank of Canada and Pappa at EUI/UAB/CEPR. Gnocchi et al. - 2016 - Housewo… banqueducanada.ca +2 banqueducanada.ca +2"
NK_GHP16,Tax,false,"False. Taxes are present only as lump-sum financing for government spending, so they do not create a nontrivial distortionary tax channel affecting equilibrium choices; the paper instead emphasizes government-expenditure shocks and the home-production/complementarity mechanism (pp. 95, 101, 104). Gnocchi et al. - 2016 - Housewo… Gnocchi et al. - 2016 - Housewo…"
NK_GHP16,Rational_Expectations,true,"True. The household Euler equation and New Keynesian Phillips curve are explicitly forward-looking with conditional expectations E t ​ , so the model uses rational/model-consistent expectations rather than learning (p. 100). Gnocchi et al. - 2016 - Housewo…"
NK_GHP16,Lagged_Terms,true,"True. The model has nontrivial lagged state terms through capital accumulation, the Taylor rule with interest-rate smoothing and output-gap growth, price-dispersion dynamics, and the AR(1) government-spending shock; see the interest-rate rule and price-dispersion law on p. 98 and the calibrated ρ g ​ on p. 101. Gnocchi et al. - 2016 - Housewo… Gnocchi et al. - 2016 - Housewo…"
NK_GHP16,Sticky_Price_Sector,Final Goods Firms,"Final Goods Firms. The paper’s firm block says there are monopolistically competitive firms producing varieties of the market good, and those firms face Calvo price resetting with probability 1−θ each period (p. 97). Gnocchi et al. - 2016 - Housewo…"
NK_GHP16,Sticky_Wages,false,"False. The model has Calvo sticky prices, but wages are flexible: household market hours are chosen through the labor-supply condition equating the real wage to the marginal rate of substitution, with no staggered wage-setting or wage-adjustment friction in the model block (pp. 95–98). Gnocchi et al. - 2016 - Housewo…"
NK_GK09lin,CB_Authors,0,"False — 0% (0/2 authors). The paper is by Mark Gertler and Peter Karadi, affiliated with NYU in the April 2009 working-paper version, p. 1; Gertler’s documented central-bank links before publication appear to be consulting/visiting-scholar/advisory roles, which you exclude, while Karadi’s first listed central-bank employment is Senior Economist at Magyar Nemzeti Bank in 2010–2012, after the April 2009 paper. Gertler and Karadi - 2009 - A m… newyorkfed.org +3 European Central Bank +3 wp.nyu.edu +3"
NK_GK09lin,Tax,false,"False. Taxes appear only as lump-sum financing in the government budget constraint, G+τc t ​ Q t ​ K t+1 ​ =T t ​ +(R kt ​ −R t ​ )B t−1 g ​ , so they do not introduce a distortionary tax wedge or substantive fiscal channel; see p. 17. Gertler and Karadi - 2009 - A m…"
NK_GK09lin,Rational_Expectations,true,"True. The model has rational/model-consistent expectations: agents optimize with forward-looking conditional expectations E t ​ , and the model is a standard monetary DSGE in the CEE/SW tradition; see the household objective and Euler condition on pp. 5–6. Gertler and Karadi - 2009 - A m…"
NK_GK09lin,Sticky_Price_Method,Calvo,"Calvo. Retailers face Calvo price setting: each period a firm can adjust freely only with probability 1−ς, while otherwise it keeps price mechanically updated by lagged inflation indexation; see p. 16. Gertler and Karadi - 2009 - A m…"
NK_GK09lin,Sticky_Price_Sector,Final Goods Firms,Final Goods Firms. Sticky prices apply at the retail/final-goods stage: retail firms repackage intermediate output into differentiated final goods and face Calvo price adjustment; see p. 16. Gertler and Karadi - 2009 - A m…
NK_GK09lin,Working_Paper,false,"False. The April 2009 version is a working paper, but the model was later published in the Journal of Monetary Economics as “A model of unconventional monetary policy,” Vol. 58, 2011, pp. 17–34; the uploaded 2009 version itself is dated April 2009 on p. 1. Gertler and Karadi - 2009 - A m…"
NK_GK11,CB_Authors,50,"True; 50% (1 of 2 authors). Peter Karadi counts: the paper’s title page lists him as affiliated with the National Bank of Hungary on p. 17, and his ECB profile reports 2010–2012 Senior Economist, Research Department, Magyar Nemzeti Bank (Central Bank of Hungary); Mark Gertler does not count because the central-bank roles I found are consultant/advisory roles, while his main listed appointment is NYU/NBER. Gertler and Karadi - 2011 - A m…"
NK_GK11,Gov_Spend,false,"False. Government spending enters the resource constraint, but it is exogenously fixed at level G, financed by lump-sum taxes, and calibrated only as a steady-state share G/Y=0.200, so it is not a nontrivial equilibrium-driving fiscal block. See p. 25 for the resource constraint/government policy and p. 26 for the calibration. Gertler and Karadi - 2011 - A m… Gertler and Karadi - 2011 - A m…"
NK_GK11,Tax,false,"False. Taxes appear only as lump-sum taxes T t ​ in the household budget constraint and government budget constraint; they finance fixed government spending and government intermediation costs, but there is no distortionary tax rule or nontrivial tax channel. See p. 20 for T t ​ in the household budget constraint and p. 25 for “financed by lump sum taxes.” Gertler and Karadi - 2011 - A m… Gertler and Karadi - 2011 - A m…"
NK_GK11,Rational_Expectations,true,"True. The model uses standard rational/model-consistent expectations: the equilibrium conditions and policy rules are written with E t ​ expectations over future returns/spreads, including the Fisher relation and credit-policy rule on p. 25. Gertler and Karadi - 2011 - A m…"
NK_GK11,Sticky_Price_Method,Calvo,"Calvo. Retailers can re-optimize prices only with probability 1−γ, while the remaining firms index non-reset prices to lagged inflation, which is Calvo pricing with indexation. See p. 24. Gertler and Karadi - 2011 - A m…"
NK_GK11,Sticky_Price_Sector,Final Goods Firms,"Final Goods Firms. Sticky prices apply at the retailer/final-goods stage: intermediate goods producers sell output to retailers, and retailers are the monopolistic competitors that reset prices with Calvo probability 1−γ. See p. 24. Gertler and Karadi - 2011 - A m…"
NK_GK13,CB_Authors,50,"True — 50% (1 of 2 authors). The paper’s title page lists Mark Gertler at NYU and Peter Karadi at the European Central Bank, p. 5; Karadi’s ECB profile reports prior central-bank employment as Senior Economist, Research Department, Magyar Nemzeti Bank, 2010–2012, before the January 2013 publication, while Gertler’s central-bank links I found are consulting/advisory/visiting roles, which I do not count. Gertler and Karadi - QE 1 vs. 2… newyorkfed.org +3 ecb.europa.eu +3 wp.nyu.edu +3"
NK_GK13,Tax,false,"False. Taxes appear only as lump-sum fiscal backing in the consolidated government budget constraint on p. 31, so they finance G, debt-service costs, and central-bank intermediation gains/losses without adding a distortionary tax margin that materially affects equilibrium allocations. Gertler and Karadi - QE 1 vs. 2…"
NK_GK13,Sticky_Price_Sector,Intermediate Goods Firms,"Intermediate Goods Firms. The sticky-price block is applied to monopolistically competitive retail firms that repackage intermediate output into differentiated goods and set prices à la Calvo, so for coding purposes this is best classified as sticky prices in the intermediate/retail goods-producing sector rather than final-good aggregation; see pp. 28 and 31. Gertler and Karadi - QE 1 vs. 2… Gertler and Karadi - QE 1 vs. 2…"
NK_GLSV07,CB_Authors,66.7,"True — 66.7% (2 of 3 authors). The paper itself states on p. 227 that “the last two authors worked at the Research Department of the Banco de España,” which means J. David López-Salido and Javier Vallés count; López-Salido’s Banco de España/Fed employment history is also confirmed by his Banco de España CV/profile, while I found no evidence that Jordi Galí had a qualifying central-bank employment position before publication, only Banco de España hospitality/financial support, which does not count. Galí et al. - 2007 - Understand… bde.es +2 bde.es +2"
NK_GLSV07,Rational_Expectations,true,"True. The model uses forward-looking rational expectations: its equilibrium conditions include terms such as E t ​ {π t+1 ​ } and expected future real rates, and the authors analyze uniqueness of equilibrium/determinacy rather than learning dynamics. See pp. 245 and 247. Galí et al. - 2007 - Understand… Galí et al. - 2007 - Understand…"
NK_GLSV07,Sticky_Wages,false,"False. Sticky nominal wage setting is not part of the model; the authors explicitly list “staggered nominal wage setting or some form of real wage rigidity” as a possible future extension, not a feature of their framework. See p. 261. Galí et al. - 2007 - Understand…"
NK_GLSV07,Date_Pub,2007,"March 2007. The title page lists the publication as Journal of the European Economic Association, March 2007, 5(1):227–270. Galí et al. - 2007 - Understand…"
NK_GM05,CB_Authors,0,"False — 0% (0/2). The paper lists Jordi Galí and Tommaso Monacelli as the two authors on p. 707; Galí’s CV/background show academic posts and central-bank consulting only, while Monacelli’s CV shows ECB consulting/visiting researcher roles and other research-fellow/visiting roles, which I am excluding under your rule. Galí and Monacelli - 2005 - Mon… cepr.org +3 crei.cat +3 economics.unibocconi.eu +3"
NK_GM05,Rational_Expectations,true,"True. The model uses rational/model-consistent expectations, with household utility written under E 0 ​ on p. 710 and the log-linear equilibrium conditions written with E t ​ {⋅} expectations; there is no learning block. Galí and Monacelli - 2005 - Mon…"
NK_GM05,Sticky_Price_Sector,Intermediate Goods Firms,"Intermediate Goods Firms. The model has a continuum of differentiated domestic producers/firms, and those firms set prices in staggered Calvo fashion; see the firm technology and price-setting block on p. 715. Galí and Monacelli - 2005 - Mon…"
NK_GM05,Date_Pub,2005,"2005. The paper appears in Review of Economic Studies 72 with copyright year 2005, and the first page is p. 707. Galí and Monacelli - 2005 - Mon…"
NK_GM07,CB_Authors,50,"True — 50% (1 of 2 authors). The paper’s title page lists Marvin Goodfriend and Bennett T. McCallum as the authors and gives the NBER working-paper date as June 2007, p. 1/title page; Goodfriend worked at the Federal Reserve Bank of Richmond before publication, including as an economist from 1978 and later senior vice president/policy advisor/director of research, while McCallum’s central-bank links appear to have been consulting/visiting-scholar roles, which do not count under your rule. Goodfriend and McCallum - 2007 … richmondfed.org +2 richmondfed.org +2"
NK_GM07,Gov_Spend,false,"False. Government spending appears only in the government budget constraint, but the authors explicitly state, “For simplicity, we keep government spending g t ​ equal to zero throughout,” so it does not play a nontrivial equilibrium role in the model, p. 10 n.12. Goodfriend and McCallum - 2007 …"
NK_GM07,Tax,false,"False. The household budget constraint includes real lump-sum taxes tax t ​ , but taxes only finance the consolidated government/central-bank budget constraint; there is no distortionary tax wedge or fiscal feedback channel, so taxes do not have a nontrivial equilibrium role, p. 7 and p. 10. Goodfriend and McCallum - 2007 … Goodfriend and McCallum - 2007 …"
