model,variable,right_coding,explanation
NK_CW09,Sticky_Price_Sector,Other,Sticky prices apply to the continuum of differentiated goods/industries produced by monopolistically competitive suppliers rather than a separate final- or intermediate-goods sector; the paper describes each differentiated good being produced by a monopolistically competitive supplier on p. 5 and discusses Calvo pricing and price dispersion on p. 14.
NK_CW09,Working_Paper,False,"The uploaded source is BIS Working Paper No. 278 dated March 2009, but the paper was later published as “Credit Frictions and Optimal Monetary Policy” in the Journal of Monetary Economics (Vol. 84, December 2016, pp. 30–65)."
NK_CW09,Published,True,"The uploaded source is a BIS working-paper version (March 2009), but the paper was later published in the Journal of Monetary Economics (Vol. 84, December 2016, pp. 30–65)."
NK_DEFK17,Gov_Spend,False,"The model has a government sector, but its nontrivial role is issuing liquid government paper and conducting private-asset open-market operations, not resource-absorbing government purchases/spending; p. 826 says government paper provides liquidity and nonconventional policy is open-market operations in private assets."
NK_DEFK17,Rational_Expectations,True,"The model assumes standard DSGE/model-consistent expectations; for the crisis simulation, p. 845 says the model paths are computed conditional on the shock hitting at the beginning of the first period under perfect foresight."
NK_DEFK17,Wage_Indexation,False,"The wage block is Calvo wage rigidity without indexation: the online appendix says non-resetting wages remain fixed and the wage law of motion carries forward the previous nominal wage divided by current inflation, not indexed to lagged inflation; the main text only describes price and wage rigidities on p. 826."
NK_RW06,CB_Authors,True (50%),"True — 50% (1/2 authors). Under the stricter rule, Ravenna does not count: his pre-publication central-bank roles appear to be visiting scholar/researcher roles, while Walsh does count because he was a Senior Economist at the Federal Reserve Bank of San Francisco before joining UCSC; the paper’s p. 199 lists both authors’ UCSC and FRBSF affiliations."
NK_RW06,Tax,False,"Taxes T_t are present only as lump-sum taxes in the household cash/budget equation on p. 202, so they do not enter household FOCs or distort private choices; the nontrivial fiscal object is government purchases G_t, not an explicit tax instrument."
NK_RW06,Lagged_Terms,False,"The core sticky-price equilibrium is forward-looking: equations (14)–(15) contain current gaps and expected future variables, not lagged endogenous terms; the paper also simplifies by ignoring capital and habit persistence. The AR(1) shock processes used in simulations are exogenous persistence, not intrinsic lagged equilibrium dynamics. See pp. 201 and 205–206."
NK_RW06,Sticky_Price_Sector,Final Goods Firms,"The composite consumption good consists of differentiated products produced by monopolistically competitive final goods producers, and the Calvo price-setting problem applies to firm j setting the price of its own good; see pp. 201–203."
NK_RW06,Price_Indexation,False,The sticky-price block is Calvo without indexation: the Phillips curve is purely forward-looking with pi_t = beta E_t pi_{t+1} + kappa(R^_t + s^_t) and contains no lagged inflation term. See pp. 205–206.
NK_RW06,Estimated,True,Section 3 estimates a New Keynesian inflation-adjustment equation using GMM and quarterly U.S. data from 1960:Q1–2001:Q1; the optimal-policy exercises then calibrate the rest of the model using those estimates rather than fully estimating the whole DSGE system. See pp. 206–207.
NK_RW06,Est_Date_Range_Start,1960:Q1,"The paper estimates the inflation equation using quarterly U.S. data over the sample 1960:Q1–2001:Q1, so the estimate date range starts in 1960:Q1; see p. 206 and the Table 1 note on p. 207."
NK_RW06,Est_Date_Range_End,2001:Q1,"The paper estimates the inflation equation using quarterly U.S. data over the sample 1960:Q1–2001:Q1, so the estimate date range ends in 2001:Q1; see p. 206 and the Table 1 note on p. 207."
NK_RA16,Gov_Spend,False,"The model includes constant government spending in the GDP identity, but Rannenberg explicitly assumes G_t = G, so government spending is not an active shock, policy rule, or fiscal block driving equilibrium dynamics; see p. 1581."
NK_RA16,Tax,False,"Taxes enter only as real lump-sum taxes in the household budget constraint on p. 1572; there is no distortionary tax system, tax rule, or tax shock that materially drives equilibrium dynamics."
NK_RA16,Gov_Debt,False,"Government bonds appear only as one-quarter, risk-free household assets that are perfect substitutes with bank deposits and earn the same interest rate; there is no separate government-debt law of motion, fiscal feedback rule, or portfolio/term-premium channel making public debt nontrivially affect equilibrium. See p. 1572."
NK_RA16,Rational_Expectations,True,"The model is a standard DSGE with model-consistent expectations: household utility and firm/bank problems are written with E_t expectations over future variables, and the bank leverage condition is explicitly forward-looking; see pp. 1572 and 1576."
NK_RA16,Sticky_Wages,False,"For the baseline/full model, Rannenberg calibrates the baseline using a Smets-Wouters parameterization without nominal wage stickiness and lists Erceg-Henderson-Levin nominal wage stickiness only as an alternative/robustness variant; see p. 1585 (and the crisis-experiment variant on p. 1601)."
NK_RA16,Price_Index_Coverage,Partial,"Non-reoptimizing retailers index prices to a weighted combination of lagged inflation and steady-state inflation, so indexation is not full lagged-inflation coverage; see p. 1573."
NK_PP17,Gov_Spend,False,"The model has lump-sum taxes/subsidies and policy instruments, but no government-spending block: the final-goods market clearing condition is y_t = c_t + (phi/2)(pi_t - 1)^2 y_t, so output is absorbed by private consumption and price-adjustment costs, not G_t, on p. 326."
NK_PP17,Rational_Expectations,True,"The model is solved with forward-looking model-consistent expectations: the optimal policy problem uses E_t V_{t+1}, and future variables are linear functions of the states with coefficients to be determined, which is a rational-expectations DSGE solution concept on p. 333."
NK_PP17,Lagged_Terms,True,"The financial block is state-dependent: bank net worth is inherited from lagged loans and deposits (N_{jt} = R_{t-1} B_{jt-1} - R_{t-1}(1 - S_{t-1}) A_{jt-1}), so past balance-sheet positions affect current leverage/spreads and equilibrium outcomes; see p. 326."
NK_PP17,Sticky_Wages,False,"The model has a representative household choosing labor supply with a standard labor-supply FOC on p. 324, while nominal rigidity is introduced through Rotemberg price adjustment costs for final-goods firms on p. 326; there is no wage-setting block, wage Calvo friction, wage adjustment cost, or wage Phillips curve."
NK_RW97,Sticky_Price_Sector,All Sectors,"All Sectors. RW97 has a single differentiated-goods production structure: each household/producer supplies one differentiated product, and price rigidity applies to those producers generally rather than to a separate final- or intermediate-goods tier. See pp. 308–309 and p. 316."
NK_RW97,Sticky_Wage_Method,Wage Contracting,"N/A. RW97 has no sticky wages, so there is no sticky-wage method to classify; the nominal rigidity is price stickiness for differentiated goods producers, not wage contracting/bargaining. See pp. 308–310 and 315–316."
NK_RW97,Price_Index_Method,Other,"N/A. RW97 has no price indexation, so there is no indexation method to classify; non-adjusting firms keep their nominal prices fixed rather than updating them by lagged or steady-state inflation. See pp. 315–316."
NK_RW97,Price_Index_Coverage,Partial,"N/A — neither partial nor full. RW97 has no price indexation; firms that cannot reoptimize keep their nominal prices fixed, so there is no indexed subset or universal indexation coverage to classify. See pp. 315–316."
NK_RW97,Wage_Index_Method,Other,"N/A. RW97 has no wage indexation, because it has no sticky-wage block; the only nominal rigidity is Calvo-style price rigidity for differentiated goods producers. See pp. 308–310 and 315–316."
NK_RW97,Wage_Index_Coverage,Partial,N/A — neither partial nor full. RW97 has no wage indexation because wages are not a separate sticky contracting margin in the model; the nominal rigidity is price rigidity for differentiated goods producers. See pp. 308–310 and 315–316.
NK_RW97,Date_Pub,1997,"January 1997. NBER lists the chapter as published in NBER Macroeconomics Annual 1997, Volume 12 with a Published Date: January 1997; the uploaded paper begins on p. 297. ([nber.org][1]) ""An Optimization-Based Econometric Framework for the ..."""
NK_RW97,Published,False,"False. RW97 was published in NBER Macroeconomics Annual 1997, a conference annual/book-series outlet rather than an academic journal; the paper itself begins as a chapter/article on p. 297."
NK_RW97,Estimated,True,True. RW97 estimates the monetary-policy VAR/policy rule and chooses structural parameters so the model’s impulse responses match the estimated response of output and inflation to monetary policy shocks. See pp. 299 and 317–318.
NK_RW97,Est_Date_Range_Start,1980:Q1,1980:Q1. The estimated VAR sample is listed as “SAMPLE: 1980:1–1995:2” in Table 1 on p. 305.
NK_RW97,Est_Date_Range_End,1995:Q2,1995:Q2. The estimated VAR sample is listed as “SAMPLE: 1980:1–1995:2” in Table 1 on p. 305.
NK_RW97,CB_Authors,False (0%),"False (0%). RW97 lists two authors, Julio J. Rotemberg and Michael Woodford, on p. 297. Rotemberg’s pre-1997 record was MIT Sloan faculty from 1980–1996 and Harvard from 1997, while Woodford’s pre-publication central-bank roles were only “Visitor” or “Consultant,” which you exclude. ([hbs.edu][1]) ""Harvard Business School Professor Julio Rotemberg Dies at 63 - News - Harvard Business School"""
NK_NS14,CB_Authors,True (50%),"True (50%). The paper has two authors, Emi Nakamura and Jón Steinsson, listed on p. 753; Jón Steinsson’s CV lists Economist, Central Bank of Iceland, 2000–2001, before the March 2014 publication, while Nakamura’s CV lists only a Junior Resident Scholar role at the New York Fed, which I would not count under your “no visiting/scholar positions” rule. ([eml.berkeley.edu][1]) ""Jón Steinsson"""
NK_NS14,Rational_Expectations,True,"True. The model is solved as a standard rational-expectations DSGE: they log-linearize the equilibrium conditions and use Sims (2001), “Solving Linear Rational Expectations Models,” to compute the unique bounded equilibrium. See p. 775."
NK_NS14,Lagged_Terms,True,"True. The model has nontrivial lagged/state dynamics: the monetary-policy rule uses interest-rate smoothing with (\rho = 0.8), and government spending shocks follow an AR(1) process with quarterly persistence (0.933). See p. 777."
NK_NS14,Sticky_Price_Sector,Final Goods Firms,"Final Goods Firms. Sticky prices apply to the differentiated goods-producing firms whose goods are demanded directly by home consumers, foreign consumers, and the government; the paper does not introduce a separate intermediate-goods sector. See p. 774 for the firm sector and p. 775 for the sticky-price calibration."
NK_NS14,Sticky_Wage_Method,Calvo,"Not applicable / None. The model does not have sticky wages: wages are determined by the household labor-supply condition, while the only nominal rigidity specified is firms’ price stickiness via (\alpha=0.75) Calvo price setting on p. 775."
NK_NS14,Price_Index_Method,Other,"Not applicable / None. The model does not have price indexation; sticky prices are modeled with Calvo non-reoptimization probability (\alpha=0.75), with no rule indexing non-reset prices to past, target, or steady-state inflation. See p. 775."
NK_NS14,Price_Index_Coverage,Partial,"Neither / Not applicable. Price indexation is absent, so there is no partial-versus-full coverage to code; the model uses Calvo price rigidity with (\alpha=0.75), not mechanical indexation of non-reset prices. See p. 775."
NK_NS14,Wage_Index_Method,Other,Not applicable / None. The model has no wage indexation because it has no sticky-wage block; the only nominal rigidity specified is Calvo price stickiness. See pp. 771 and 775.
NK_NS14,Wage_Index_Coverage,Other,Neither / Not applicable. Wage indexation is absent because the model has no sticky-wage or wage-indexation block; only Calvo price stickiness is specified. See pp. 771 and 775.
NK_NS14,Date_Pub,2014,"2014. The model was published in the March 2014 American Economic Review, Vol. 104, No. 3, pp. 753–792; the title page gives “American Economic Review 2014, 104(3): 753–792” on p. 753."
NK_NS14,Est_Date_Range_Start,Not applicable,"Not applicable. The theoretical model is not structurally estimated, so there is no model estimate date-range start; the empirical regional multiplier exercise uses 1966–2006 data, but that is not an estimation window for the DSGE model. See the empirical-data discussion on p. 758 and the calibrated model setup on p. 777."
NK_NS14,Est_Date_Range_End,Not applicable,"Not applicable. The theoretical model is not structurally estimated, so there is no model estimate date-range end; the empirical regional multiplier exercise uses data ending in 2006, but that is not the DSGE model’s estimation range. See empirical sample discussion on p. 758 and calibrated model setup on p. 777."
NK_MPT10,CB_Authors,True (33.3%),"True (33.3%). The paper has three authors—Monacelli, Perotti, and Trigari—on the title page of the April 2010 NBER version. I would count Antonella Trigari only: her CV lists “Summer 2001 ECB, Research Department, Frankfurt, Graduate Research Programme,” which predates publication and is not listed as a consultancy or visiting position; Monacelli’s and Perotti’s central-bank entries are consultancies/visits, which you told me not to count. ([economics.unibocconi.eu][1]) ""Microsoft Word - CV-Trigari.docx"""
NK_MPT10,Rational_Expectations,True,"True. The model uses standard model-consistent expectations: firms maximize expected discounted profits with (E_t{\cdot}), households maximize expected lifetime utility, and the stochastic discount factor is derived from household optimization. See the baseline model on pp. 10–13 of the NBER version."
NK_MPT10,Sticky_Price_Sector,Intermediate Goods Firms,"Other. Sticky prices are located in a monopolistically competitive retail sector: the search-friction production sector is re-labeled the intermediate-goods sector, while retailers buy intermediate goods, differentiate them, and resell them; the paper also notes final-good firms aggregate individual retail goods. See pp. 31–32 of the NBER version."
NK_MPT10,Sticky_Wage_Method,Calvo,Other. It is not Calvo/Rotemberg wage setting or explicit wage contracting in their model; they impose a reduced-form real wage partial-adjustment rule where the actual wage is a weighted average of the Nash-bargained target wage and last period’s actual wage. See p. 29 of the NBER version.
NK_MPT10,Price_Indexation,False,"False. The NK extension introduces nominal price rigidity through staggered/Calvo price setting in the retail sector, but the paper does not specify any rule indexing non-reset prices to lagged or steady-state inflation. See pp. 31–33 of the NBER version."
NK_MPT10,Price_Index_Method,Other,"Not applicable. Since the model has no price indexation, there is no indexation method to classify; the NK extension uses Calvo price setting without specifying non-reset-price indexation. See pp. 31–33 of the NBER version."
NK_MPT10,Price_Index_Coverage,Partial,"Partial. More precisely, coverage is none/not applicable, because the model has Calvo price setting but no price-indexation rule for non-resetting firms; if forced into partial vs. full, code Partial, not full. See pp. 31–33 of the NBER version."
NK_MPT10,Wage_Index_Method,Other,"Not applicable. The model has no wage indexation; the real wage rigidity extension instead uses lagged real wage levels via (w_t=(1-\chi)w_t^{nb}+\chi w_{t-1}), which is wage partial adjustment, not wage-indexation. See p. 29 of the NBER version."
NK_MPT10,Wage_Index_Coverage,Partial,"Partial. More precisely, coverage is none/not applicable, because the model has no wage-indexation rule; it only has real-wage partial adjustment to lagged wage levels. If forced into partial vs. full, code Partial, not full. See p. 29 of the NBER version."
NK_MPT10,Date_Pub,2010,"2010. The uploaded version is the NBER working paper dated April 2010 on the title page, and the model is listed as Monacelli, Perotti, Trigari (2010), Journal of Monetary Economics 57, 531–553 in the MMB documentation."
NK_MPT10,Est_Date_Range_Start,1954:Q1,"N/A for the theoretical model. The DSGE/search model is calibrated rather than structurally estimated; the paper’s empirical VAR sample starts at 1954:1, stated on p. 4 of the NBER version."
NK_MPT10,Est_Date_Range_End,2006:Q4,"N/A for the theoretical model. The model is calibrated rather than structurally estimated; the paper’s empirical VAR sample ends at 2006:4, stated on p. 4 of the NBER version."
NK_MM10,CB_Authors,True (100%),"True (100%). Meh is listed on p. 555 as affiliated with the Bank of Canada, and Moran’s CV lists Bank of Canada employment before publication, including Economist in 1992–1993 and Principal Researcher in 1999–2004."
NK_MM10,Rational_Expectations,True,"True. The model uses model-consistent forward-looking expectations, with (E_t) entering the household Euler equations and wage-setting first-order condition on pp. 561–562; there is no learning or adaptive-expectations block."
NK_MM10,Sticky_Price_Method,Calvo,"Calvo. Intermediate-good firms face a random price-reoptimization friction: the paper calibrates “the probability of not reoptimizing for price setters” (f_p=0.60), which is the Calvo pricing structure; see p. 565."
NK_MM10,Sticky_Price_Sector,Intermediate Goods Firms,"Intermediate Goods Firms. The model states that “intermediate goods are produced by monopolistically competitive firms facing nominal rigidities,” while final-good firms are competitive assemblers of intermediate goods; see p. 557."
NK_MM10,Sticky_Wage_Method,Calvo,"Calvo. Wage setters receive a random reoptimization signal with probability (1-f_w), otherwise they index wages to last period’s price inflation; the calibration sets (f_w=0.64), the probability of not reoptimizing, on pp. 562 and 565."
NK_MM10,Price_Index_Method,Prev Price Inflation,"Prev Price Inflation. Non-reoptimizing firms index their prices to last period’s aggregate inflation, (p_{j,t+k}=\prod_{s=0}^{k-1}\pi_{t+s}p_{jt}); see p. 558."
NK_MM10,Price_Index_Coverage,Partial,"Partial coverage. Only firms that do not reoptimize index their prices to lagged aggregate inflation, while the (1-f_p) reoptimizing firms choose a new optimal price; see p. 558."
NK_MM10,Wage_Index_Coverage,Partial,"Partial coverage. Only households that do not reoptimize their nominal wage index it to lagged price inflation; the (1-f_w) reoptimizing households choose a new optimal wage, so indexation does not cover all wage setters; see p. 562."
NK_MM10,Date_Pub,2010,"2010. The paper appears in *Journal of Economic Dynamics & Control* 34 (2010), pp. 555–576; see p. 555."
NK_MI14,CB_Authors,False (0%),"False (0%). The paper has one author, Pascal Michaillat, listed on p. 190, and his official CV lists only academic employment before the 2014 publication—LSE Lecturer from 2010–2016—with no central-bank employment entry. ([Pascal Michaillat][1]) ""Pascal Michaillat's CV"""
NK_MI14,Gov_Spend,True,"True. Government spending enters nontrivially through public employment: the government employs workers directly, aggregate employment is (n_t=l_t+g_t), and higher (g) shifts aggregate labor demand (n^d(\theta,w,g)=g+l^d(\theta,w)), affecting tightness, private crowd-out, and equilibrium employment on pp. 192 and 194–195."
NK_MI14,Gov_Debt,False,"False. Although the New Keynesian version writes a government bond/budget equation with inherited debt (b_{t-1}) and new debt (b_t), debt is consolidated out into the resource constraint, which contains consumption, price-adjustment costs, and hiring costs—not a debt-stock mechanism. On p. 204, the paper explicitly rewrites the government budget constraint as the resource constraint, so debt is not a nontrivial equilibrium channel for the model’s multiplier mechanism."
NK_MI14,Rational_Expectations,True,"True. The dynamic New Keynesian version uses model-consistent expectations: the firm hiring condition and Phillips curve explicitly contain ( \mathbb{E}_t[\cdot] ) terms, and the simulations are obtained under perfect foresight, which is the deterministic counterpart of rational expectations. See p. 205."
NK_MI14,Lagged_Terms,True,"True. Lagged terms matter through the employment law of motion: unemployment at (t) depends on lagged aggregate employment (n_{t-1}), and hiring costs depend on new hires relative to surviving matches; in the NK extension, the resource constraint also contains (n_t-(1-s)n_{t-1}). See pp. 192 and 204."
NK_MI14,Sticky_Price_Method,Calvo,"Rotemberg. The paper states that in the New Keynesian extension, firms face Rotemberg quadratic price adjustment costs, not Calvo price setting. See p. 200."
NK_MI14,Sticky_Price_Sector,Intermediate Goods Firms,"Intermediate Goods Firms. The final-good market is perfectly competitive, while each intermediate good is produced by a monopolist that incurs Rotemberg price-adjustment costs when changing its nominal price. See p. 204."
NK_MI14,Sticky_Wage_Method,Calvo,"Other. Michaillat assumes the real wage is exogenous, following Hall-style real wage rigidity, explicitly not a Calvo/Rotemberg wage-setting or bargaining rule; he notes Nash bargaining is the common alternative but does not use it here. See p. 195."
NK_MI14,Price_Index_Method,Other,"Not applicable. The model has no price indexation, so none of the listed methods applies; the price friction is Rotemberg quadratic price adjustment costs on p. 200, with no lagged- or steady-state-inflation indexing term."
NK_MI14,Price_Index_Coverage,Partial,"Neither / not applicable. The model has no price indexation, so there is no partial-versus-full coverage to classify; the price friction is Rotemberg quadratic price adjustment costs on p. 200."
NK_MI14,Wage_Index_Method,Other,"Not applicable. The model has no wage indexation; its wage rigidity is an exogenous real wage schedule rather than indexation to past price inflation, past wage inflation, steady-state inflation, or previous wages. See p. 195."
NK_MI14,Wage_Index_Coverage,Partial,"Neither / not applicable. The model has no wage indexation, so there is no partial-versus-full coverage to classify; wages are treated through an exogenous real wage schedule on p. 195."
NK_MI14,Date_Pub,2014,"2014. The article was published in American Economic Journal: Macroeconomics, 2014, Vol. 6, No. 1, pp. 190–217; the title page shows this on p. 190."
NK_MI14,Est_Date_Range_Start,Not applicable,"Not applicable. The model was not estimated; it was calibrated to U.S. data, so there is no estimation sample start date. See p. 206."
NK_MI14,Est_Date_Range_End,Not applicable,"Not applicable. The model was not estimated; it was calibrated to U.S. data, so there is no estimation sample end date. See p. 206."
